Date,Value
12/31/2017,1447
11/30/2017,1442
10/31/2017,1429
9/30/2017,1429
8/31/2017,1436
7/31/2017,1441
6/30/2017,1445
5/31/2017,1451
4/30/2017,1462
3/31/2017,1474
2/28/2017,1491
1/31/2017,1513
12/31/2016,1513
11/30/2016,1515
10/31/2016,1510
9/30/2016,1523
8/31/2016,1543
7/31/2016,1557
6/30/2016,1568
5/31/2016,1572
4/30/2016,1574
3/31/2016,1570
2/29/2016,1570
1/31/2016,1577
12/31/2015,1573
11/30/2015,1572
10/31/2015,1569
9/30/2015,1580
8/31/2015,1577
7/31/2015,1567
6/30/2015,1548
5/31/2015,1545
4/30/2015,1538
3/31/2015,1549
2/28/2015,1569
1/31/2015,1591
12/31/2014,1593
11/30/2014,1576
10/31/2014,1561
9/30/2014,1554
8/31/2014,1539
7/31/2014,1521
6/30/2014,1492
5/31/2014,1489
4/30/2014,1499
3/31/2014,1523
2/28/2014,1536
1/31/2014,1532
12/31/2013,1536
11/30/2013,1546
10/31/2013,1530
9/30/2013,1488
8/31/2013,1473
7/31/2013,1464
6/30/2013,1470
5/31/2013,1437
4/30/2013,1416
3/31/2013,1381
2/28/2013,1343
1/31/2013,1300
12/31/2012,1273
11/30/2012,1285
10/31/2012,1290
9/30/2012,1308
8/31/2012,1313
7/31/2012,1323
6/30/2012,1331
5/31/2012,1336
4/30/2012,1328
3/31/2012,1325
2/29/2012,1328
1/31/2012,1341
12/31/2011,1359
11/30/2011,1370
10/31/2011,1367
9/30/2011,1377
8/31/2011,1379
7/31/2011,1383
6/30/2011,1401
5/31/2011,1423
4/30/2011,1432
3/31/2011,1417
2/28/2011,1392
1/31/2011,1369
12/31/2010,1335
11/30/2010,1313
